epoch,total_active_stake,total_blocks,pool_id,blocks,active_stake,active_size,delegators_count,rewards,fees,pool_perf,Active Stake (ADA),Pool performance (%)
289,2.33112E+16,21600,pool168235cjpsrvwnvddmhc7dmtcqr7c40j2mlrph3qvuxk3jqls0wy,0,4738366,2.03E-10,2,0,0,0,4.738366,0
289,2.33112E+16,21600,pool12ppnqj78z7fnztw7rwg2gd0e0zpr3mq9gs3hgxe0n6fhkzfmzu4,0,4823411,2.07E-10,1,0,0,0,4.823411,0
289,2.33112E+16,21600,pool14pxhk34wlpu2azrnwy9ah8hrzxgffhqthcxcp620209eupfjfcn,0,5000000,2.14E-10,1,0,0,0,5,0
289,2.33112E+16,21600,pool1fc3m8hdjj76n6llxextpc60tt63w5ygwgvf2ekzr3k222kxxdkg,0,5000000,2.14E-10,1,0,0,0,5,0
289,2.33112E+16,21600,pool1jrst9acplgqk95469zu68xv5xj802lqxe682jjsd39z26ddj8ur,0,5032568,2.16E-10,2,0,0,0,5.032568,0
289,2.33112E+16,21600,pool1554z79tjljh37v2n9ga8r32c9nzmhd7y6pl8x6jyly22xwrm4yk,0,5075783,2.18E-10,1,0,0,0,5.075783,0
289,2.33112E+16,21600,pool1dde9jvej6nr4yqfnnlx5ydn036zv7yr098y4p2qs7cvn2l3kuj8,0,5119687,2.20E-10,1,0,0,0,5.119687,0
289,2.33112E+16,21600,pool1yd67ecxptd70flavhu9m4x9pj460fpy3pttlcfs5wvjlwzs79vw,0,5154646,2.21E-10,1,0,0,0,5.154646,0
289,2.33112E+16,21600,pool1tuux2sctklrlzsh34w4gquz2wtundky30fvrn0qky5p7qr5n00d,0,5398685,2.32E-10,1,0,0,0,5.398685,0
289,2.33112E+16,21600,pool1eqc4jwuez8yyerwlyjwenh99dlvmn6t6n3qjym70ulf5u8xr6lq,0,5577986,2.39E-10,2,0,0,0,5.577986,0
289,2.33112E+16,21600,pool13tnpm4fq90zfq0v47ad4pmk25t5dvrh3udhcr5wv7mm9uq6g787,0,5844718,2.51E-10,1,0,0,0,5.844718,0
289,2.33112E+16,21600,pool196tul7axlt0qzqvs7rx4glfdkpsjlsh68tdkl7y87q3uztcvd5k,0,5879394,2.52E-10,1,0,0,0,5.879394,0
289,2.33112E+16,21600,pool17m39tt99rq96gv9s4cp7u93auavams3khrdtzfapngxgjs3tj7s,0,5885306,2.52E-10,3,0,0,0,5.885306,0
289,2.33112E+16,21600,pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,0,5893313,2.53E-10,1,0,0,0,5.893313,0
289,2.33112E+16,21600,pool1jz4vmzq5zkedem6wep8c99fxatxgvymlvdzs9qxxn7xsuv4m8um,0,6001245,2.57E-10,1,0,0,0,6.001245,0
289,2.33112E+16,21600,pool1aksxtgqz36vtvnf3rrgrzz9qxrvjv4p2ukqcdyv5q66s5eqhql9,0,6444552,2.76E-10,5,0,0,0,6.444552,0
289,2.33112E+16,21600,pool16dk66d47thmteth783kt2cw9uh0zc4xsdvlqrwadz7vnyaev8cv,0,6453117,2.77E-10,2,0,0,0,6.453117,0
289,2.33112E+16,21600,pool1wpp9pslecqwv4wjr4gfhcsv9hmagz882q6fl6umwup8guxy5whm,0,6638814,2.85E-10,3,0,0,0,6.638814,0
289,2.33112E+16,21600,pool15zrj43nldc357nas0g7glm09wqhtyexxs64skq52mtg6sdrsjzd,0,6738263,2.89E-10,1,0,0,0,6.738263,0
289,2.33112E+16,21600,pool1k0h45kcsfynjfyplgn6qpaw40n3cvlcrdryez04x40ayq6w9dgh,0,7054091,3.03E-10,1,0,0,0,7.054091,0
289,2.33112E+16,21600,pool1vemm9tq77upd9m6wtu7edw8wtju3ymnuq9wz43cfn35qk26ddqq,0,7401751,3.18E-10,7,0,0,0,7.401751,0
289,2.33112E+16,21600,pool17xtz3a8ppy9prj4e2e5t5ggk6p68ls305x5pyyxdxc2lut0ltm2,0,7426233,3.19E-10,1,0,0,0,7.426233,0
